date,tmax_degC,tmin_degC,rainfall_mm,humidity_pct,radiation_wm2,wind_speed_ms,dewpoint_degC,surface_pressure_hpa,soil_moisture,evapotranspiration_mm
06-02-1951,21.7,8.9,0.0,62,235.29941999999997,11.5,6.4,952.2,0.275,3.72
07-02-1951,24.2,9.2,0.0,56,234.3735,11.0,6.3,953.3,0.272,4.01
08-02-1951,25.8,10.4,0.0,52,236.22534,12.7,6.8,951.0,0.268,4.35
09-02-1951,29.2,11.2,7.6,54,209.48940000000002,14.2,9.7,948.4,0.265,4.37
10-02-1951,28.7,14.1,0.0,45,236.80404000000001,14.2,7.1,947.5,0.262,4.97
11-02-1951,25.0,11.4,0.0,37,244.79009999999997,11.8,2.5,949.4,0.258,4.73
12-02-1951,24.9,10.9,0.0,33,247.45211999999998,12.6,-0.1,951.7,0.256,5.12
13-02-1951,26.0,9.5,0.0,38,245.48454,10.6,1.6,951.8,0.254,4.56
14-02-1951,26.9,9.6,0.0,38,247.45211999999998,10.5,2.1,950.7,0.252,4.85
15-02-1951,26.6,10.6,0.0,35,248.72526,11.0,1.0,949.7,0.251,4.83
16-02-1951,28.6,12.0,0.0,30,248.49378,14.3,0.2,951.6,0.249,5.19
17-02-1951,28.4,10.6,0.0,28,256.3641,13.2,-1.2,953.4,0.248,5.44
18-02-1951,29.6,9.9,0.0,34,255.2067,11.0,1.1,952.1,0.247,5.02
19-02-1951,30.8,13.8,0.0,30,255.32243999999997,10.2,1.7,950.3,0.246,5.65
20-02-1951,30.9,14.5,0.0,30,257.5215,9.4,2.4,950.0,0.246,5.4
21-02-1951,31.9,14.4,0.0,30,257.17428,10.0,3.5,950.8,0.245,5.73
22-02-1951,32.7,13.7,0.0,34,259.25759999999997,11.9,3.9,950.1,0.245,5.79
23-02-1951,32.7,14.1,0.0,31,261.5724,15.2,2.4,948.5,0.245,6.13
24-02-1951,33.2,14.4,0.0,33,260.29926,14.0,4.1,947.8,0.245,5.93
25-02-1951,31.8,14.8,0.0,38,259.48908,10.9,6.9,947.0,0.245,5.52
26-02-1951,31.9,15.2,0.0,36,261.80388,14.4,5.9,947.0,0.244,5.82
27-02-1951,32.6,15.2,0.0,35,261.91962,11.2,5.2,948.1,0.244,5.68
28-02-1951,32.6,14.8,0.0,30,258.21594,11.8,3.2,949.0,0.244,5.89
01-03-1951,33.6,16.4,0.0,29,262.96128,12.3,4.0,950.4,0.244,6.27
02-03-1951,33.7,16.5,0.0,27,249.4197,11.0,2.7,949.8,0.244,5.23
03-03-1951,34.5,18.6,0.1,25,262.49832,14.1,4.4,951.1,0.244,6.58
04-03-1951,29.2,20.3,2.6,44,234.9522,16.0,11.2,951.4,0.252,5.19
05-03-1951,32.9,18.5,0.0,42,229.04945999999998,14.0,9.8,950.9,0.255,5.31
06-03-1951,33.7,18.9,0.0,25,226.04022,8.4,3.7,951.1,0.252,5.11
07-03-1951,32.9,20.4,0.0,27,252.77616,12.8,6.3,951.8,0.25,5.96
08-03-1951,33.4,21.1,0.0,33,262.49832,9.9,8.6,950.0,0.248,5.75
09-03-1951,33.2,21.4,0.0,29,254.28078,13.7,6.4,949.5,0.248,6.49
10-03-1951,31.1,19.0,0.0,44,243.74844,14.7,10.7,949.4,0.253,5.48
11-03-1951,32.0,18.9,7.0,59,230.43834,12.0,14.1,950.0,0.285,4.58
12-03-1951,29.8,16.5,1.4,54,256.47984,11.9,11.4,950.3,0.381,5.14
13-03-1951,29.4,15.8,0.0,39,247.79934,16.3,7.3,951.4,0.352,5.25
14-03-1951,29.2,17.2,1.8,49,248.26229999999998,16.1,11.4,951.7,0.33,5.06
15-03-1951,29.6,18.1,2.6,65,244.09565999999998,15.1,15.1,950.9,0.327,4.46
16-03-1951,29.5,16.5,0.0,61,234.83646,10.1,13.2,949.5,0.341,4.67
17-03-1951,31.9,16.9,0.0,47,270.2529,12.0,9.5,948.5,0.322,5.75
18-03-1951,32.7,15.6,0.0,26,206.82738,19.1,2.0,947.0,0.304,6.09
19-03-1951,30.6,19.3,1.9,28,192.47562,19.3,4.8,947.3,0.289,6.34
20-03-1951,30.7,19.5,0.0,34,248.72526,17.2,5.8,946.2,0.28,6.47
21-03-1951,29.9,16.1,0.0,17,297.68327999999997,13.8,-3.6,944.9,0.272,7.21
22-03-1951,31.8,14.6,0.0,27,271.52604,19.2,2.9,945.9,0.265,7.11
23-03-1951,29.7,20.4,1.9,49,182.75346,18.5,12.6,947.7,0.263,4.94
24-03-1951,27.5,18.1,5.3,63,216.66528,25.2,14.1,946.4,0.287,4.26
25-03-1951,27.5,16.7,0.0,59,258.91038000000003,17.8,11.8,946.1,0.319,5.09
26-03-1951,28.3,15.9,0.0,44,252.77616,16.1,7.4,948.2,0.312,5.5
27-03-1951,29.7,16.4,0.0,35,273.7251,12.6,6.2,949.6,0.297,5.65
28-03-1951,30.1,18.5,4.7,59,237.61422000000002,11.7,13.8,947.9,0.297,4.72
29-03-1951,29.1,15.5,2.6,67,245.25306,10.2,13.6,945.3,0.324,4.25
30-03-1951,29.3,16.0,0.0,46,286.57224,16.4,7.1,945.0,0.332,6.07
31-03-1951,30.0,16.1,0.4,43,245.71602000000001,15.8,8.0,945.4,0.313,5.05
01-04-1951,31.1,15.4,0.0,37,283.67874,16.2,6.5,946.5,0.298,6.13
02-04-1951,31.5,17.5,0.0,32,245.13732,13.5,6.3,946.9,0.286,6.04
03-04-1951,32.2,18.4,0.0,28,287.26668,14.4,5.0,947.9,0.277,7.15
04-04-1951,32.6,18.4,0.0,22,308.79431999999997,13.4,1.3,946.3,0.269,7.24
05-04-1951,33.9,16.7,0.0,25,306.47952,12.9,3.3,945.6,0.262,7.24
06-04-1951,32.2,19.3,0.2,29,296.2944,23.5,4.9,946.3,0.257,7.88
07-04-1951,32.0,18.6,0.0,31,309.0258,18.1,5.5,947.4,0.253,7.58
08-04-1951,32.8,17.4,0.0,28,301.73418,10.9,5.0,947.9,0.25,6.63
09-04-1951,33.2,19.6,0.0,26,304.62768,16.3,4.9,946.6,0.248,7.76
10-04-1951,33.2,19.2,0.0,37,311.68782,14.7,8.6,947.4,0.246,6.85
11-04-1951,33.9,20.3,0.0,28,286.91945999999996,14.1,6.8,948.5,0.246,6.73
12-04-1951,34.1,20.8,0.6,29,272.22048,13.6,7.4,947.3,0.245,6.84
13-04-1951,35.4,21.1,0.0,33,257.86872,15.5,8.9,947.3,0.245,6.12
14-04-1951,36.3,22.7,0.0,27,231.13278,11.5,7.6,947.9,0.244,6.26
15-04-1951,36.5,24.9,0.0,27,303.47028,19.1,9.4,946.4,0.244,8.17
16-04-1951,35.4,25.1,0.0,37,260.53074000000004,16.8,12.9,945.9,0.245,6.74
17-04-1951,35.7,23.5,0.2,43,291.6648,15.2,14.3,946.1,0.248,6.68
18-04-1951,36.3,23.1,0.0,38,255.32243999999997,20.9,11.2,945.2,0.251,7.34
19-04-1951,34.3,22.4,0.3,27,268.86402,25.9,6.1,944.8,0.249,8.99
20-04-1951,34.9,22.0,0.0,27,315.3915,20.2,4.6,944.9,0.247,8.89
21-04-1951,34.4,20.7,0.0,27,311.10911999999996,20.6,5.0,946.2,0.246,8.7
22-04-1951,35.5,21.1,0.0,26,319.67388,20.4,5.3,945.1,0.245,9.18
23-04-1951,35.8,21.4,0.0,25,297.22032,18.5,6.2,945.9,0.245,8.9
24-04-1951,37.2,22.5,0.0,24,319.78961999999996,17.5,6.5,947.7,0.244,9.02
25-04-1951,36.9,23.1,0.0,22,287.03520000000003,18.5,5.3,948.2,0.244,8.57
26-04-1951,35.5,23.8,0.1,27,277.1973,18.8,7.9,947.9,0.244,8.29
27-04-1951,37.2,22.9,0.0,29,321.1785,19.8,7.6,947.3,0.244,9.25
28-04-1951,36.3,22.3,0.0,25,316.89612,17.4,6.4,948.2,0.244,8.7
29-04-1951,37.2,23.5,0.0,24,305.55359999999996,16.3,6.6,948.8,0.245,8.38
30-04-1951,38.0,24.2,0.0,22,303.70176,18.3,5.9,947.6,0.244,8.26
01-05-1951,36.7,24.3,4.4,31,279.97506,18.3,11.1,948.2,0.244,8.04
02-05-1951,37.3,23.7,1.2,30,283.44725999999997,19.6,9.2,948.1,0.244,8.52
03-05-1951,37.9,24.1,3.7,26,292.8222,13.7,7.2,948.4,0.244,7.81
04-05-1951,37.4,24.1,0.5,23,279.04913999999997,18.1,7.0,949.0,0.244,7.75
05-05-1951,38.0,24.8,0.1,30,296.2944,16.4,10.6,949.4,0.244,7.99
06-05-1951,37.4,25.1,1.9,29,293.05368,20.5,10.4,948.5,0.244,8.11
07-05-1951,38.8,26.6,1.5,32,286.57224,13.5,12.3,947.4,0.25,7.46
08-05-1951,38.2,24.2,0.0,30,285.29909999999995,21.7,10.5,946.8,0.26,8.45
09-05-1951,38.5,25.9,0.0,21,315.9702,18.5,5.5,945.9,0.256,9.13
10-05-1951,38.8,25.0,0.0,21,314.00262,21.0,5.1,944.8,0.251,9.34
11-05-1951,39.3,26.6,0.0,21,309.6045,16.8,7.0,944.7,0.248,8.84
12-05-1951,39.6,26.6,0.0,25,292.12775999999997,20.5,9.2,946.3,0.246,9.47
13-05-1951,39.2,26.8,0.0,26,324.41922,22.1,9.8,946.0,0.245,10.21
14-05-1951,38.4,26.8,0.0,29,283.67874,18.8,11.5,944.4,0.245,8.47
15-05-1951,37.7,26.3,0.0,28,274.8825,20.3,10.9,945.6,0.245,7.92
16-05-1951,36.7,26.5,0.3,30,198.03114,13.6,10.8,946.6,0.245,5.86
17-05-1951,37.4,25.9,0.0,30,285.29909999999995,17.6,10.6,946.8,0.246,7.39
18-05-1951,37.0,25.8,0.0,29,288.42408,16.7,10.5,944.6,0.248,7.97
19-05-1951,39.0,25.0,0.0,31,325.2294,20.0,10.3,944.3,0.247,8.97
20-05-1951,40.3,26.6,0.7,30,285.29909999999995,21.1,11.6,944.1,0.25,8.76
21-05-1951,37.5,24.4,3.3,38,216.78102,23.3,14.2,946.4,0.266,8.06
22-05-1951,38.1,26.2,1.1,39,222.33654,18.7,14.6,946.3,0.295,6.33
23-05-1951,39.3,26.7,1.5,45,287.49816,16.0,16.5,946.1,0.304,7.17
24-05-1951,38.8,26.5,3.1,35,255.09096,14.4,13.9,946.1,0.302,6.82
25-05-1951,40.1,26.2,3.2,40,146.17962,21.6,15.3,947.1,0.285,6.2
26-05-1951,39.9,26.2,0.0,38,155.6703,19.1,14.1,945.9,0.273,6.49
27-05-1951,36.0,26.9,0.7,36,185.87843999999998,19.3,13.6,945.1,0.264,7.07
28-05-1951,38.3,26.3,1.9,43,201.61908000000003,23.4,16.5,944.1,0.259,6.77
29-05-1951,37.1,26.1,0.3,44,273.37788,12.6,16.8,943.6,0.262,6.79
30-05-1951,35.2,24.8,0.0,61,289.35,15.9,20.2,943.8,0.296,6.38
31-05-1951,31.9,23.7,0.0,77,289.9287,19.1,22.2,941.8,0.421,5.45
01-06-1951,33.0,25.1,0.8,60,263.8872,21.0,19.7,940.6,0.42,6.15
02-06-1951,35.8,24.8,0.4,51,264.35016,18.4,17.9,941.0,0.379,6.7
03-06-1951,37.5,25.7,0.3,46,275.80841999999996,15.5,17.1,942.6,0.352,6.73
04-06-1951,37.9,25.0,0.0,37,311.80356,17.5,12.8,941.2,0.335,8.3
05-06-1951,37.6,23.7,0.0,40,247.91508000000002,20.5,13.7,940.4,0.308,7.94
06-06-1951,38.9,26.3,0.0,38,271.87325999999996,22.1,14.8,940.1,0.29,8.36
07-06-1951,39.3,26.3,0.0,38,283.21578,22.5,15.7,940.6,0.276,8.52
08-06-1951,40.1,28.0,0.6,39,271.87325999999996,19.1,16.3,940.6,0.267,8.26
09-06-1951,38.5,28.8,0.6,40,181.94328000000002,21.8,16.7,941.3,0.269,6.47
10-06-1951,34.9,24.5,10.1,56,241.66511999999997,16.1,19.1,939.7,0.314,5.77
11-06-1951,37.3,25.6,1.3,48,265.50756,12.2,17.9,939.7,0.398,6.18
12-06-1951,36.0,26.2,0.5,52,268.28532,15.3,18.9,941.0,0.356,6.53
13-06-1951,36.2,24.5,0.0,49,302.31288,14.3,17.1,940.1,0.326,7.11
14-06-1951,36.9,25.3,0.2,50,282.86856,21.9,18.5,938.2,0.302,7.2
15-06-1951,32.2,25.3,8.5,64,217.35972,16.6,20.5,937.7,0.291,5.21
16-06-1951,31.9,22.7,2.4,66,156.249,22.2,19.8,940.3,0.303,4.62
17-06-1951,34.1,24.4,0.2,59,102.08268,22.0,19.4,941.2,0.296,4.45
18-06-1951,35.8,23.8,0.0,53,245.60027999999997,24.4,17.8,940.2,0.286,6.57
19-06-1951,37.3,23.9,0.2,46,294.09534,18.0,16.2,939.7,0.276,7.34
20-06-1951,37.0,25.6,9.9,51,259.72056000000003,14.1,18.2,941.5,0.278,6.31
21-06-1951,36.3,25.3,2.7,54,276.50286,18.8,18.9,942.9,0.286,6.59
22-06-1951,35.8,25.0,1.7,60,279.97506,20.9,20.3,942.2,0.299,6.47
23-06-1951,34.4,24.6,1.9,61,262.61406,20.9,19.8,941.6,0.334,6.12
24-06-1951,35.5,23.6,0.3,57,285.06762,18.5,19.0,941.3,0.342,6.93
25-06-1951,34.7,24.3,0.8,56,263.53998,20.1,19.2,942.0,0.318,6.18
26-06-1951,32.2,24.8,4.0,65,221.29488,17.7,20.6,942.9,0.321,4.92
27-06-1951,26.4,22.7,14.2,89,133.33248,20.2,22.3,942.6,0.48,2.4
28-06-1951,24.9,22.2,29.0,96,50.46264,19.5,22.4,942.0,0.501,0.93
29-06-1951,25.5,22.0,18.4,92,94.44384,21.0,21.9,940.2,0.506,1.74
30-06-1951,28.6,22.9,2.3,81,115.04556,28.7,21.7,939.6,0.484,2.97
01-07-1951,28.1,23.3,2.2,84,198.72558,23.5,22.4,941.0,0.47,3.69
02-07-1951,28.0,23.4,1.9,78,205.66997999999998,21.2,21.5,942.4,0.461,4.08
03-07-1951,25.7,22.9,0.5,87,58.68018,22.4,22.0,942.9,0.463,1.58
04-07-1951,26.9,22.8,3.8,82,115.85574,16.7,21.2,943.2,0.461,2.54
05-07-1951,29.2,23.0,5.4,81,147.45276,18.5,21.7,943.5,0.445,3.09
06-07-1951,31.7,22.6,2.3,77,114.46686000000001,16.8,21.6,944.5,0.433,2.91
07-07-1951,31.1,23.2,0.3,76,210.18384,17.3,22.1,943.1,0.426,4.38
08-07-1951,29.8,23.7,0.7,75,188.42472,18.5,21.7,942.7,0.416,3.99
09-07-1951,32.5,23.3,1.9,76,255.55391999999998,15.5,22.1,942.8,0.411,5.02
10-07-1951,33.3,23.4,4.0,74,252.66042,17.7,22.1,943.5,0.44,5.14
11-07-1951,30.5,24.0,0.1,74,169.32762,24.6,21.7,943.5,0.441,4.0
12-07-1951,30.0,23.4,0.9,78,210.53106000000002,23.2,21.9,942.1,0.42,4.31
13-07-1951,30.6,23.8,1.3,73,225.46152,23.7,21.2,942.1,0.404,4.84
14-07-1951,31.0,22.8,1.1,75,208.56348,19.0,21.3,943.1,0.386,4.29
15-07-1951,29.9,23.2,4.9,74,196.52652,17.8,21.5,942.9,0.381,3.98
16-07-1951,32.2,23.9,2.4,78,259.60482,11.1,23.0,943.0,0.375,4.8
17-07-1951,31.6,23.2,6.1,78,230.78556,12.2,22.7,943.1,0.43,4.43
18-07-1951,29.5,23.6,12.7,79,181.59606,20.2,22.2,942.2,0.428,3.57
19-07-1951,31.1,23.4,17.5,76,195.25338000000002,17.5,22.3,941.1,0.416,4.03
20-07-1951,27.7,23.0,10.7,89,92.36052000000001,14.0,23.0,940.2,0.476,1.82
21-07-1951,30.2,23.5,12.1,86,101.04102,15.9,23.2,939.8,0.483,2.21
22-07-1951,29.5,23.3,16.1,90,70.83288,20.1,23.4,938.4,0.483,1.58
23-07-1951,28.4,23.6,3.5,89,181.24884,14.7,23.4,938.1,0.484,3.18
24-07-1951,29.6,22.5,8.1,87,188.0775,11.0,23.2,938.8,0.487,3.32
25-07-1951,29.1,23.4,7.5,88,119.55942,15.1,23.3,940.4,0.448,2.34
26-07-1951,26.8,22.9,23.6,93,107.98542,18.2,22.7,939.3,0.475,1.83
27-07-1951,28.2,23.1,25.7,89,109.37429999999999,21.7,22.9,938.9,0.467,2.28
28-07-1951,29.1,22.9,9.9,83,185.99418,23.0,22.1,942.2,0.481,3.6
29-07-1951,28.5,23.3,4.8,82,139.11947999999998,23.1,21.8,942.9,0.473,3.1
30-07-1951,27.6,23.4,2.5,85,149.3046,28.1,22.0,940.9,0.474,3.03
31-07-1951,25.3,22.6,1.2,91,82.40688,27.5,22.1,939.7,0.495,1.61
01-08-1951,27.9,23.0,1.2,86,107.52246,22.7,22.3,940.9,0.492,2.24
02-08-1951,28.2,23.9,0.7,82,110.30022,21.0,22.3,941.1,0.476,2.65
03-08-1951,28.6,23.8,0.5,81,117.24462000000001,20.9,22.2,941.9,0.471,2.79
04-08-1951,28.5,23.4,0.1,79,93.40218,20.3,21.5,940.8,0.46,2.55
05-08-1951,28.4,23.4,2.1,84,110.64744,22.2,22.2,940.4,0.462,2.49
06-08-1951,27.0,23.0,9.1,92,111.6891,20.4,23.0,940.3,0.473,1.97
07-08-1951,27.2,22.8,33.0,92,73.84212,23.1,22.8,939.4,0.499,1.49
08-08-1951,28.0,23.4,66.6,93,23.03226,17.7,23.4,938.9,0.477,0.81
09-08-1951,23.7,22.5,6.3,96,99.88362000000001,23.2,22.5,940.9,0.479,1.5
10-08-1951,26.0,22.0,1.4,89,106.59654,20.6,21.6,942.9,0.498,2.09
11-08-1951,27.2,22.6,7.7,89,156.36473999999998,20.4,22.3,943.9,0.493,2.65
12-08-1951,28.0,22.9,8.0,87,139.00374,14.2,22.4,944.3,0.473,2.55
13-08-1951,25.7,23.0,2.4,91,158.67954,16.6,22.5,943.8,0.464,2.57
14-08-1951,27.2,22.5,2.2,91,158.5638,21.2,22.6,943.6,0.499,2.61
15-08-1951,25.0,22.9,14.0,93,95.83272,23.9,22.6,943.5,0.493,1.62
16-08-1951,25.4,22.6,26.8,91,64.2357,20.8,22.1,941.6,0.488,1.4
17-08-1951,23.8,22.7,21.5,96,105.55487999999998,23.5,22.4,940.7,0.468,1.58
18-08-1951,24.1,22.4,7.1,96,94.3281,16.9,22.3,941.3,0.483,1.54
19-08-1951,24.1,22.3,3.1,97,129.16584,21.9,22.4,942.6,0.49,1.79
20-08-1951,26.6,22.4,2.1,90,117.82332,23.2,22.4,943.4,0.488,2.15
21-08-1951,26.7,23.5,2.5,89,130.09176,19.7,22.9,943.2,0.482,2.36
22-08-1951,28.3,23.1,1.3,82,141.7815,26.3,21.8,943.9,0.471,3.05
23-08-1951,27.4,23.1,2.6,81,190.16082,28.2,21.5,944.8,0.461,3.69
24-08-1951,27.6,23.0,1.8,82,165.50820000000002,25.2,21.6,945.3,0.458,3.28
25-08-1951,28.4,23.0,1.6,80,179.97570000000002,26.5,21.4,945.2,0.451,3.69
26-08-1951,28.2,22.9,0.6,81,137.03616,20.8,21.4,946.3,0.44,2.96
27-08-1951,27.9,23.0,1.3,81,162.036,21.3,21.3,946.6,0.433,3.27
28-08-1951,28.6,23.0,1.3,81,200.2302,18.7,21.3,946.8,0.424,3.77
29-08-1951,27.2,21.5,2.1,84,188.54046,14.5,21.3,947.1,0.416,3.32
30-08-1951,27.8,20.6,3.4,80,167.24429999999998,14.7,20.0,948.2,0.411,3.21
31-08-1951,28.4,22.0,1.0,81,203.1237,17.4,20.9,947.5,0.404,3.76
01-09-1951,28.2,22.0,1.0,81,152.1981,18.7,21.1,946.3,0.395,3.04
02-09-1951,27.0,22.0,13.2,85,78.58746,21.4,21.2,945.4,0.421,1.89
03-09-1951,24.1,22.1,82.8,93,35.53218,24.4,21.7,945.0,0.488,0.89
04-09-1951,29.9,22.3,13.6,84,182.75346,17.1,22.3,944.2,0.447,3.46
05-09-1951,30.2,22.8,2.2,78,240.50772,17.1,21.6,942.7,0.442,4.59
06-09-1951,28.7,21.9,0.0,77,266.08626,23.2,20.6,943.3,0.427,4.88
07-09-1951,27.3,22.4,4.8,84,241.66511999999997,24.3,20.9,943.4,0.444,3.95
08-09-1951,27.7,22.6,1.8,87,163.54062000000002,19.1,22.0,943.5,0.472,2.87
09-09-1951,29.6,23.0,0.4,76,244.21140000000003,22.9,21.1,944.0,0.476,4.79
10-09-1951,28.7,22.0,0.0,75,238.07718,24.4,20.3,944.8,0.455,4.66
11-09-1951,26.6,21.4,0.2,78,85.41611999999999,25.4,19.6,945.3,0.445,2.57
12-09-1951,23.5,19.8,4.9,89,134.02692,25.0,19.7,944.4,0.48,2.15
13-09-1951,24.8,20.4,1.5,88,139.23522,24.0,20.1,945.9,0.489,2.35
14-09-1951,25.2,20.1,1.1,87,149.53608,16.3,20.0,948.6,0.48,2.56
15-09-1951,26.9,18.9,0.4,85,168.63318,14.8,19.7,948.7,0.467,2.94
16-09-1951,28.2,19.8,0.6,81,220.36896,10.4,20.3,947.6,0.454,3.9
17-09-1951,27.5,20.6,0.6,82,192.59136,14.8,20.6,948.3,0.443,3.42
18-09-1951,27.7,20.3,0.9,78,199.99872000000002,14.3,19.4,949.5,0.431,3.59
19-09-1951,27.4,19.9,1.8,80,178.47108,12.9,19.6,950.1,0.419,3.23
20-09-1951,28.2,20.0,0.8,83,204.28109999999998,12.2,20.5,950.0,0.41,3.56
21-09-1951,29.4,19.6,0.4,81,237.38274,6.7,20.8,948.7,0.402,4.16
22-09-1951,30.3,20.2,1.2,76,238.88736,6.7,20.3,948.8,0.392,4.3
23-09-1951,30.9,19.7,0.0,73,252.77616,8.0,20.0,947.7,0.38,4.57
24-09-1951,31.3,22.9,0.0,68,249.18822,7.4,20.2,947.4,0.369,4.71
25-09-1951,31.7,22.0,0.2,68,247.56786,12.2,19.7,946.8,0.359,4.89
26-09-1951,31.8,22.0,0.6,66,255.55391999999998,7.9,19.4,945.7,0.348,4.8
27-09-1951,31.7,21.5,0.2,67,245.48454,9.8,19.4,945.7,0.337,4.71
28-09-1951,31.9,22.1,6.0,65,243.86418,9.0,19.2,946.1,0.326,4.63
29-09-1951,29.1,22.1,5.9,82,232.6374,12.1,21.6,945.3,0.357,4.0
30-09-1951,26.4,21.5,14.4,91,192.35988,14.9,21.7,942.9,0.46,3.01
01-10-1951,26.2,21.4,12.9,88,123.84179999999999,19.1,21.1,941.5,0.485,2.27
02-10-1951,27.2,21.3,5.9,87,127.77695999999999,16.1,21.1,941.8,0.481,2.33
03-10-1951,27.1,22.1,0.3,84,188.42472,19.3,21.1,943.2,0.479,3.22
04-10-1951,31.0,19.8,0.1,77,254.97522,22.2,20.7,943.6,0.464,4.97
05-10-1951,30.3,22.0,0.0,70,265.85478,25.0,19.2,944.7,0.439,5.43
06-10-1951,29.1,20.3,0.0,76,247.79934,19.1,19.2,947.5,0.421,4.43
07-10-1951,29.3,19.1,0.0,79,218.40138000000002,16.4,19.7,949.4,0.408,3.9
08-10-1951,30.8,19.6,0.0,75,253.35486,11.4,19.6,949.3,0.396,4.54
09-10-1951,30.7,21.6,0.3,71,250.92432,15.1,19.4,948.1,0.382,4.82
10-10-1951,32.0,20.4,0.0,63,255.55391999999998,14.4,17.4,946.7,0.369,5.14
11-10-1951,30.3,20.9,0.0,64,197.56818,12.0,17.4,945.8,0.356,4.19
12-10-1951,22.5,20.1,30.4,91,65.3931,9.0,19.8,946.7,0.463,1.2
13-10-1951,24.7,19.1,55.8,92,91.55034,11.0,20.2,947.8,0.474,1.67
14-10-1951,27.2,18.7,5.5,89,140.27687999999998,9.2,20.3,947.0,0.488,2.45
15-10-1951,26.3,19.8,7.7,85,223.60968,13.5,20.0,945.6,0.488,3.62
16-10-1951,28.3,20.0,0.3,82,241.78086,14.0,20.0,944.9,0.476,4.03
17-10-1951,28.9,20.9,0.0,83,232.52166,14.3,21.0,945.7,0.461,3.92
18-10-1951,28.7,19.5,0.3,85,230.78556,10.8,20.7,946.9,0.467,3.87
19-10-1951,27.1,19.9,3.9,87,215.73936,6.6,20.8,948.0,0.469,3.57
20-10-1951,26.1,20.2,0.0,91,180.78588,6.6,20.9,948.2,0.48,2.94
21-10-1951,27.1,19.7,0.4,88,186.68862,9.8,20.0,948.5,0.488,3.09
22-10-1951,29.4,19.2,3.6,76,223.60968,7.9,18.8,948.9,0.475,3.92
